MONTH,STORECODE,DAY,BILL_ID,BILL_AMT,QTY,VALUE,PRICE,GRP,SGRP,SSGRP,CMP,MBRD,BRD
M1,N4,11,T222,343,1,48,48,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,DABUR,DABUR,DABUR RED
M1,N4,11,T223,149,5,95,19,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,NUTRICHOICE,NUTRICHOICE DIGESTIVE
M1,N4,11,T223,149,2,54,27,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,MARIE GOLD REGULAR
M1,N4,11,T224,205.5,1,9.5,9.5,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,BRITANNIA INDS,50-50,50-50 MSK CK
M1,N4,11,T224,205.5,2,19,9.5,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N4,11,T224,205.5,2,19,9.5,BISCUITS - CORE & NON CORE,GLUCOSE,GLUCOSE,PARLE PRODS,PARLE-G,PARLE-G
M1,N4,11,T224,205.5,1,10,10,CLEANERS - UTENSIL,TRADITIONAL,BARS,HINDUSTAN UNILEVER LIMITED,VIM,VIM
M1,N4,11,T224,205.5,1,92,92,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,COLGATE-PALMOLIVE,COLGATE ACTIVE SALT,COLGATE ACTIVE SALT EXCL HW
M1,N4,11,T224,205.5,4,56,14,SCOURING PADS/SCRUBS,SCOURING PADS,SCOURING PADS,3M INDIA LTD,SCOTCH BRITE,3M SCOTCH BRITE GENERAL PURPOS
M1,N4,11,T225,975,2,220,110,CONFECTIONERY - ECLAIRS,CONFECTIONERY - ECLAIRS,CONFECTIONERY - ECLAIRS,MONDELEZ INTERNATIONAL,CADBURY,CADBURY CHOCLAIRS GOLD
M1,N4,11,T225,975,1,73,73,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,PATANJALI AYURVED LTD,PATANJALI,DANT KANTI
M1,N4,11,T225,975,2,132,66,TOILET SOAPS (04/00),PREMIUM,PREMIUM,GODREJ CONSUMER PRODS,GODREJ NO 1,GODREJ NO 1 NATURAL
M1,N4,11,T225,975,1,140,140,SHAMPOO - BY SEGMENTS,BOTTLES / TUBES,BOTTLES / TUBES,HINDUSTAN UNILEVER LIMITED,CLINIC PLUS,CLINIC PLUS
M1,N4,11,T225,975,1,265,265,HAIR OILS PKTP(8/02),RIGID,COOLING OIL,G K BURMAN HERBALS,HIMGANGE,HIMGANGE
M1,N4,11,T225,975,1,145,145,SKIN CREAMS,OTHER FACE CREAMS,OTHER FACE CREAMS,HINDUSTAN UNILEVER LIMITED,FAIR & LOVELY,FAIR & LOVELY MULTIVITAMIN
M1,N4,11,T226,206,1,50,50,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,HINDUSTAN UNILEVER LIMITED,WHEEL,WHEEL ACTIVE
M1,N4,11,T226,206,2,94,47,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,COLGATE-PALMOLIVE,COLGATE DENTALCREAM,COLGATE DENTALCREAM
M1,N4,11,T226,206,1,62,62,TOILET SOAPS (04/00),PREMIUM,PREMIUM,GODREJ CONSUMER PRODS,GODREJ NO 1,GODREJ NO 1 LIME AND ALOE VERA
M1,N4,11,T227,107,1,20,20,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N4,11,T227,107,1,87,87,CLEANERS - FLOOR,LIQUIDS,LIQUIDS,RECKITT BENCKISER,LIZOL,LIZOL DISINFECT FLR CLNR
M1,N4,14,T261,266.28,1,26,26,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,HINDUSTAN UNILEVER LIMITED,WHEEL,WHEEL GREEN
M1,N4,14,T261,266.28,1,130,130,TOILET SOAPS (04/00),PREMIUM,PREMIUM,WIPRO CONS PRODS,SANTOOR,SANTOOR
M1,N4,14,T261,266.28,2,54,27,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,BRITANNIA BOURBON,BRITANNIA BOURBON
M1,N4,14,T261,266.28,6,56.28,9.38,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,HINDUSTAN UNILEVER LIMITED,WHEEL,WHEEL ACTIVE
M1,N4,14,T262,131,1,73,73,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,PATANJALI AYURVED LTD,PATANJALI,DANT KANTI
M1,N4,14,T262,131,2,58,29,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO VANILLA
M1,N4,14,T264,45,9,45,5,BISCUITS - CORE & NON CORE,CREAM,CREAM,I T C,SUNFEAST SPECIAL CREAM,SUNFEAST SPECIAL CREAM CHOCO
M1,N4,14,T265,291,1,100,100,CONFECTIONERY - ECLAIRS,CONFECTIONERY - ECLAIRS,CONFECTIONERY - ECLAIRS,PARLE PRODS,MELODY,MELODY CHOCOLATY
M1,N4,14,T265,291,1,86,86,SKIN CREAMS,FACE WASH,FACE WASH,L'OREAL INDIA,GARNIER,GARNIER MEN ACNOFIGHT
M1,N4,14,T265,291,1,27,27,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,BRITANNIA BOURBON,BRITANNIA BOURBON
M1,N4,14,T265,291,2,78,39,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N4,14,T267,348,12,192,16,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,HINDUSTAN UNILEVER LIMITED,RIN,RIN ADVANCED
M1,N4,14,T267,348,6,156,26,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,HINDUSTAN UNILEVER LIMITED,SURF EXCEL,SURF EXCEL
M1,N4,14,T268,229,1,80,80,CLEANERS - TOILET,LIQUIDS,LIQUIDS,RECKITT BENCKISER,HARPIC POWER,HARPIC POWER PLUS
M1,N4,14,T268,229,1,87,87,CLEANERS - FLOOR,LIQUIDS,LIQUIDS,HINDUSTAN UNILEVER LIMITED,DOMEX,DOMEX DISINFECTANT
M1,N4,14,T268,229,1,34,34,SCOURING PADS/SCRUBS,SCOURING PADS,SCOURING PADS,3M INDIA LTD,SCOTCH BRITE,3M SCOTCH BRITE GENERAL PURPOS
M1,N4,14,T268,229,1,28,28,SCOURING PADS/SCRUBS,STEEL SCRUB,STEEL SCRUB,3M INDIA LTD,SCOTCH BRITE,3M SCOTCH BRITE STN STEEL SCRB
M1,N4,14,T269,208,2,124,62,TOILET SOAPS (04/00),PREMIUM,PREMIUM,GODREJ CONSUMER PRODS,GODREJ NO 1,GODREJ NO 1 SAFFRON
M1,N4,14,T269,208,1,84,84,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,COLGATE-PALMOLIVE,COLGATE DENTALCREAM,COLGATE DENTALCREAM
M1,N4,14,T270,62,1,24,24,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,NICE TIME,NICE TIME
M1,N4,14,T270,62,1,19,19,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,NUTRICHOICE,NUTRICHOICE DIGESTIVE
M1,N4,14,T270,62,1,19,19,BISCUITS - CORE & NON CORE,GLUCOSE,GLUCOSE,PARLE PRODS,PARLE-G,PARLE-G
M1,N4,14,T271,247,1,100,100,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,GLAXO SMITHKLINE,SENSODYNE,SENSODYNE
M1,N4,14,T271,247,1,62,62,TOILET SOAPS (04/00),PREMIUM,PREMIUM,GODREJ CONSUMER PRODS,GODREJ NO 1,GODREJ NO 1 LIME AND ALOE VERA
M1,N4,14,T271,247,1,85,85,PRICKLY HEAT POWDER,PRICKLY HEAT POWDER,PRICKLY HEAT POWDER,HESH PHARMA,HESH,HESH
M1,N4,14,T272,342,1,29,29,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,PARLE PRODS,PARLE HIDE & SEEK,HIDE & SEEK CHOCOLATE CHIP
M1,N4,14,T272,342,1,29,29,BISCUITS - CORE & NON CORE,SALT CRACKER,SALT CRACKER,PARLE PRODS,MONACO,MONACO
M1,N4,14,T272,342,1,38,38,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N4,14,T272,342,1,29,29,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO VANILLA
M1,N4,14,T272,342,5,190,38,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,VITA MARIE GOLD
M1,N4,14,T272,342,1,27,27,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,BRITANNIA BOURBON,BRITANNIA BOURBON
M1,N4,14,T273,346,2,38,19,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,VITA MARIE GOLD
M1,N4,14,T273,346,1,38,38,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N4,14,T273,346,1,90,90,REFINED EDIBLE OILS-ALL PACKS,SUN FLOWER,SUN FLOWER,LIBERTY OIL MILLS,SUNDAY,SUNDAY
M1,N4,14,T273,346,2,20,10,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,BALAJI WAFERS P L,BALAJI,BALAJI CREAM & ONION
M1,N4,14,T273,346,1,80,80,CLEANERS - TOILET,LIQUIDS,LIQUIDS,RECKITT BENCKISER,HARPIC POWER,HARPIC POWER PLUS
M1,N4,14,T273,346,1,80,80,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,HINDUSTAN UNILEVER LIMITED,CLOSE-UP,CLOSE-UP NEW
M1,N4,14,T274,39,1,39,39,TOILET SOAPS (04/00),PREMIUM,PREMIUM,HINDUSTAN UNILEVER LIMITED,PEARS,PEARS SOFT & FRESH
M1,N4,14,T275,336,1,106,106,PACKAGED TEA,MAIN PACKS,MAIN PACKS,HASMUKHRAI & CO,SOCIETY,SOCIETY LEAF
M1,N4,14,T275,336,1,80,80,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,HINDUSTAN UNILEVER LIMITED,CLOSE-UP,CLOSE-UP NEW
M1,N4,14,T275,336,1,43,43,TOILET SOAPS (04/00),PREMIUM,PREMIUM,JOHNSON & JOHNSON,JOHNSON'S BABY,BABY SOAP
M1,N4,14,T275,336,6,57,9.5,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,HINDUSTAN UNILEVER LIMITED,WHEEL,WHEEL ACTIVE
M1,N4,14,T275,336,1,50,50,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,HINDUSTAN UNILEVER LIMITED,WHEEL,WHEEL ACTIVE
M1,N4,14,T276,345,3,78,26,TOILET SOAPS (04/00),PREMIUM,PREMIUM,HINDUSTAN UNILEVER LIMITED,REXONA,REXONA COCONUT & OLIVE OIL
M1,N4,14,T276,345,1,210,210,PACKAGED TEA,MAIN PACKS,MAIN PACKS,GIRNAR FOOD & BEVER,GIRNAR,ROYAL CUP
M1,N4,14,T276,345,3,57,19,TOILET SOAPS (04/00),POPULAR,POPULAR,GODREJ CONSUMER PRODS,SHIKAKAI,GODREJ SHIKAKAI
M1,N4,16,T303,219.84,48,219.84,4.58,BISCUITS - CORE & NON CORE,CREAM,CREAM,I T C,SUNFEAST SPECIAL CREAM,SUNFEAST SPCL CREAM ORANGE
M1,N4,16,T304,57,2,19,9.5,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,HINDUSTAN UNILEVER LIMITED,WHEEL,WHEEL GREEN
M1,N4,16,T304,57,1,38,38,COCONUT OIL PKTYP (08/02),BRANDED,RIGID,MARICO INDS,PARACHUTE,PARACHUTE
M1,N4,16,T305,174,3,174,58,PRE-POST WASH PRODUCTS,LIQUID BLEACHES,LIQUID BLEACHES,HINDUSTAN UNILEVER LIMITED,RIN,RIN
M1,N4,16,T306,448,1,130,130,TOILET SOAPS (04/00),PREMIUM,PREMIUM,WIPRO CONS PRODS,SANTOOR,SANTOOR
M1,N4,16,T306,448,10,95,9.5,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,HINDUSTAN UNILEVER LIMITED,WHEEL,WHEEL ACTIVE
M1,N4,16,T306,448,1,47,47,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,COLGATE-PALMOLIVE,COLGATE DENTALCREAM,COLGATE DENTALCREAM
M1,N4,16,T306,448,1,37,37,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,HINDUSTAN UNILEVER LIMITED,RIN,RIN
M1,N4,16,T306,448,1,106,106,PACKAGED TEA,MAIN PACKS,MAIN PACKS,GIRNAR FOOD & BEVER,GIRNAR,ROYAL CUP
M1,N4,16,T306,448,1,33,33,CLEANERS - UTENSIL,TRADITIONAL,BARS,PITAMBARI PRODS,PITAMBARI,PITAMBARI
M1,N4,16,T307,267.66,2,19,9.5,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,MARIE GOLD REGULAR
M1,N4,16,T307,267.66,2,19,9.5,BISCUITS - CORE & NON CORE,GLUCOSE,GLUCOSE,PARLE PRODS,PARLE-G,PARLE-G
M1,N4,16,T307,267.66,7,66.5,9.5,TOILET SOAPS (04/00),MASS,MASS,HINDUSTAN UNILEVER LIMITED,LIFEBUOY,LIFEBUOY CARE
M1,N4,16,T307,267.66,12,56.16,4.68,CLEANERS - UTENSIL,TRADITIONAL,BARS,HINDUSTAN UNILEVER LIMITED,VIM,VIM
M1,N4,16,T307,267.66,6,69,11.5,SOAP CAKES/BARS,SOAP CAKES/BARS,SOAP CAKES/BARS,HINDUSTAN UNILEVER LIMITED,WHEEL,WHEEL OK ACTIVE
M1,N4,16,T307,267.66,1,38,38,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,PATANJALI AYURVED LTD,PATANJALI,DANT KANTI
M1,N4,16,T308,186.5,1,19,19,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N4,16,T308,186.5,1,9.5,9.5,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,PARLE PRODS,PARLE KRACK JACK,PARLE KRACK JACK
M1,N4,16,T308,186.5,1,17,17,HAIR DYES     (1/76),HAIR DYES     (1/76),HAIR DYES     (1/76),GODREJ CONSUMER PRODS,GODREJ EXPERT POWDERS,GODREJ EXPERT PWD NATURAL BLCK
M1,N4,16,T308,186.5,6,84,14,TOILET SOAPS (04/00),POPULAR,POPULAR,PATANJALI AYURVED LTD,PATANJALI,PATANJALI SOMYA
M1,N4,16,T308,186.5,1,19,19,TOILET SOAPS (04/00),POPULAR,POPULAR,GODREJ CONSUMER PRODS,SHIKAKAI,GODREJ SHIKAKAI
M1,N4,16,T308,186.5,1,38,38,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,PATANJALI AYURVED LTD,PATANJALI,DANT KANTI
M1,N4,16,T309,627.32,1,78,78,TALCUM POWDERS,TALCUM POWDERS,TALCUM POWDERS,HINDUSTAN UNILEVER LIMITED,POND'S,PONDS DREAMFLOWER
M1,N4,16,T309,627.32,4,212,53,PACKAGED TEA,MAIN PACKS,MAIN PACKS,TATA GLOBAL BEVERAGES LTD,TATA AGNI,TATA AGNI EXTRA STRONG LEAVES
M1,N4,16,T309,627.32,4,16,4,HAIR CONDITIONERS,HAIR CONDITIONERS,HAIR CONDITIONERS,L'OREAL INDIA,GARNIER,FRUCTIS
M1,N4,16,T309,627.32,24,112.32,4.68,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY BUTTER
M1,N4,16,T309,627.32,1,105,105,PACKAGED TEA,MAIN PACKS,MAIN PACKS,TATA GLOBAL BEVERAGES LTD,TATA AGNI,TATA AGNI DUST
M1,N4,16,T309,627.32,6,57,9.5,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,HINDUSTAN UNILEVER LIMITED,WHEEL,WHEEL ACTIVE
M1,N4,16,T309,627.32,1,47,47,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,COLGATE-PALMOLIVE,COLGATE DENTALCREAM,COLGATE DENTALCREAM
M1,N4,16,T310,50,10,50,5,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
M1,N4,16,T311,40,2,40,20,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS MAGIC MASALA
M1,N4,16,T313,435,1,195,195,HAIR OILS PKTP(8/02),RIGID,AMLA,DABUR,DABUR AMLA,DABUR AMLA
M1,N4,16,T313,435,1,95,95,TALCUM POWDERS,TALCUM POWDERS,TALCUM POWDERS,HINDUSTAN UNILEVER LIMITED,POND'S,POND'S STARLIGHT
M1,N4,16,T313,435,1,145,145,SKIN CREAMS,OTHER FACE CREAMS,OTHER FACE CREAMS,HINDUSTAN UNILEVER LIMITED,FAIR & LOVELY,FAIR & LOVELY MULTIVITAMIN
M1,N4,16,T314,233,1,118,118,LIQUID TOILET SOAPS  (8/93),HAND WASH,HAND WASH,RECKITT BENCKISER,DETTOL,DETTOL ORIGINAL
M1,N4,16,T314,233,2,19,9.5,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,PROCTER & GAMBLE,ARIEL,ARIEL COMPLETE
M1,N4,16,T314,233,1,96,96,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
M1,N4,23,T320,50,10,50,5,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
M1,N4,23,T321,128,1,9.5,9.5,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,MARIE GOLD REGULAR
M1,N4,23,T321,128,1,39,39,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N4,23,T321,128,2,19,9.5,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,PARLE PRODS,PARLE KRACK JACK,PARLE KRACK JACK
M1,N4,23,T321,128,1,9.5,9.5,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,PARLE PRODS,PARLE TOP,PARLE TOP
M1,N4,23,T321,128,1,27,27,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,BRITANNIA BOURBON,BRITANNIA BOURBON
M1,N4,23,T321,128,1,24,24,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,NICE TIME,NICE TIME
M1,N4,24,T322,459.5,4,38,9.5,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,TREAT,TREAT JAM
M1,N4,24,T322,459.5,1,130,130,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,COLGATE-PALMOLIVE,COLGATE DENTALCREAM,COLGATE DENTALCREAM
M1,N4,24,T322,459.5,2,58,29,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,PARLE PRODS,PARLE HIDE & SEEK,HIDE & SEEK CHOCOLATE CHIP
M1,N4,24,T322,459.5,2,48,24,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,NICE TIME,NICE TIME
M1,N4,24,T322,459.5,1,29,29,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,PURE MAGIC,PURE MAGIC DEUCE
M1,N4,24,T322,459.5,1,9.5,9.5,BISCUITS - CORE & NON CORE,SALT CRACKER,SALT CRACKER,PARLE PRODS,MONACO,MONACO
M1,N4,24,T322,459.5,1,27,27,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,MARIE GOLD REGULAR
M1,N4,24,T322,459.5,1,39,39,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N4,24,T322,459.5,3,81,27,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,BRITANNIA BOURBON,BRITANNIA BOURBON
M1,N4,24,T323,55,11,55,5,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
M1,N4,24,T324,440,1,95,95,SKIN CREAMS,OTHER FACE CREAMS,OTHER FACE CREAMS,HINDUSTAN UNILEVER LIMITED,FAIR & LOVELY,FAIR & LOVELY MULTIVITAMIN
M1,N4,24,T324,440,1,67,67,COCONUT OIL PKTYP (08/02),BRANDED,RIGID,MARICO INDS,PARACHUTE,PARACHUTE
M1,N4,24,T324,440,1,110,110,CONFECTIONERY - ECLAIRS,CONFECTIONERY - ECLAIRS,CONFECTIONERY - ECLAIRS,MONDELEZ INTERNATIONAL,CADBURY,CADBURY CHOCLAIRS GOLD
M1,N4,24,T324,440,2,96,48,CONFECTIONERY - ECLAIRS,CONFECTIONERY - ECLAIRS,CONFECTIONERY - ECLAIRS,PARLE PRODS,MELODY,MELODY CHOCOLATY
M1,N4,24,T324,440,3,72,24,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,NICE TIME,NICE TIME
M1,N4,24,T327,143,1,80,80,CLEANERS - TOILET,LIQUIDS,LIQUIDS,RECKITT BENCKISER,HARPIC POWER,HARPIC POWER PLUS
M1,N4,24,T327,143,1,63,63,SHAVING PREPARATIONS,CREAMS,CREAMS,PROCTER & GAMBLE,OLD SPICE,OLD SPICE ORIGINAL
M1,N4,24,T328,288,1,43,43,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,NESTLE INDIA,MAGGI,MAGGI MASALA
M1,N4,24,T328,288,1,105,105,PACKAGED TEA,MAIN PACKS,MAIN PACKS,TATA GLOBAL BEVERAGES LTD,TATA AGNI,TATA AGNI DUST
M1,N4,24,T328,288,2,54,27,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,MARIE GOLD REGULAR
M1,N4,24,T328,288,2,19,9.5,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,PARLE PRODS,PARLE KRACK JACK,PARLE KRACK JACK
M1,N4,24,T328,288,1,67,67,COCONUT OIL PKTYP (08/02),BRANDED,RIGID,MARICO INDS,PARACHUTE,PARACHUTE
M1,N4,24,T330,168,1,50,50,TOILET SOAPS (04/00),PREMIUM,PREMIUM,CHOLAYIL PVT LTD,MEDIMIX,MEDIMIX AYURVEDIC
M1,N4,24,T330,168,1,118,118,LIQUID TOILET SOAPS  (8/93),HAND WASH,HAND WASH,RECKITT BENCKISER,DETTOL,DETTOL ORIGINAL
M1,N4,24,T331,100,1,50,50,LIQUID TOILET SOAPS  (8/93),HAND WASH,HAND WASH,RECKITT BENCKISER,DETTOL,DETTOL ORIGINAL
M1,N4,24,T331,100,2,50,25,TOILET SOAPS (04/00),PREMIUM,PREMIUM,CHOLAYIL PVT LTD,MEDIMIX,MEDIMIX AYURVEDIC
M1,N4,24,T332,161.5,5,47.5,9.5,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N4,24,T332,161.5,6,57,9.5,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,HINDUSTAN UNILEVER LIMITED,WHEEL,WHEEL ACTIVE
M1,N4,24,T332,161.5,2,19,9.5,BISCUITS - CORE & NON CORE,SALT CRACKER,SALT CRACKER,PARLE PRODS,MONACO,MONACO
M1,N4,24,T332,161.5,1,38,38,COCONUT OIL PKTYP (08/02),BRANDED,RIGID,MARICO INDS,PARACHUTE,PARACHUTE
M1,N4,26,T350,40,2,40,20,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N4,26,T351,143,2,19,9.5,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,MARIE GOLD REGULAR
M1,N4,26,T351,143,1,124,124,COCONUT OIL PKTYP (08/02),BRANDED,RIGID,MARICO INDS,PARACHUTE,PARACHUTE
M1,N4,26,T352,65,13,65,5,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,DAIRY MILK
M1,N4,26,T353,364.5,1,38,38,COCONUT OIL PKTYP (08/02),BRANDED,RIGID,MARICO INDS,PARACHUTE,PARACHUTE
M1,N4,26,T353,364.5,1,62,62,TOILET SOAPS (04/00),PREMIUM,PREMIUM,GODREJ CONSUMER PRODS,GODREJ NO 1,GODREJ NO 1 SAFFRON
M1,N4,26,T353,364.5,5,47.5,9.5,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,HINDUSTAN UNILEVER LIMITED,WHEEL,WHEEL ACTIVE
M1,N4,26,T353,364.5,1,63,63,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,COLGATE-PALMOLIVE,COLGATE DENTALCREAM,COLGATE DENTALCREAM
M1,N4,26,T353,364.5,1,48,48,TOOTH BRUSH   (7/93),MANUAL,MANUAL,COLGATE-PALMOLIVE,COLGATE ZIG-ZAG,COLGATE ZIG ZAG
M1,N4,26,T353,364.5,1,24,24,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,NESTLE INDIA,MAGGI,MAGGI MASALA
M1,N4,26,T353,364.5,1,53,53,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,NIRMA LIMITED,NIRMA,NIRMA
M1,N4,26,T353,364.5,1,29,29,JAMS/JELLY/MARMALADES-CTG,JAMS,JAMS,HINDUSTAN UNILEVER LIMITED,KISSAN,KISSAN
M1,N4,26,T355,156,6,156,26,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,HINDUSTAN UNILEVER LIMITED,SURF EXCEL,SURF EXCEL
M1,N4,28,T370,114,3,57,19,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,NUTRICHOICE,NUTRICHOICE DIGESTIVE
M1,N4,28,T370,114,3,28.5,9.5,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,BRITANNIA INDS,50-50,50-50 MSK CK
M1,N4,28,T370,114,3,28.5,9.5,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,BRITANNIA BOURBON,BRITANNIA BOURBON
